region,region_name,forest,forest_name,district,district_name,state
3,Southwest Region,4,Coconino NF,4,Long Valley RD (Legacy),AZ
3,Southwest Region,4,Coconino NF,5,Mormon Lake RD,AZ
3,Southwest Region,4,Coconino NF,6,Red Rock RD,AZ
3,Southwest Region,4,Coconino NF,7,Mogollon Rim RD,AZ
3,Southwest Region,5,Coronado NF,0,Supervisor’s Office,AZ
3,Southwest Region,5,Coronado NF,1,Douglas RD,AZ
3,Southwest Region,5,Coronado NF,1,Douglas RD,NM
3,Southwest Region,5,Coronado NF,2,Nogales RD,AZ
3,Southwest Region,5,Coronado NF,3,Sierra Vista RD,AZ
3,Southwest Region,5,Coronado NF,4,Safford RD,AZ
3,Southwest Region,5,Coronado NF,5,Santa Catalina RD,AZ
3,Southwest Region,5,Coronado NF,6,,AZ
3,Southwest Region,6,Gila NF,0,Supervisor’s Office,NM
3,Southwest Region,6,Gila NF,2,Black Range RD,NM
3,Southwest Region,6,Gila NF,3,Quemado RD,NM
3,Southwest Region,6,Gila NF,4,Glenwood RD,NM
3,Southwest Region,6,Gila NF,5,Wilderness RD,NM
3,Southwest Region,6,Gila NF,6,Reserve RD,NM
3,Southwest Region,6,Gila NF,7,Silver City RD,NM
3,Southwest Region,6,Gila NF,8,,NM
3,Southwest Region,6,Gila NF,9,,NM
3,Southwest Region,7,Kaibab NF,0,Supervisor’s Office,AZ
3,Southwest Region,7,Kaibab NF,1,Williams RD,AZ
3,Southwest Region,7,Kaibab NF,2,Chalender RD (Legacy),AZ
3,Southwest Region,7,Kaibab NF,3,North Kaibab RD,AZ
3,Southwest Region,7,Kaibab NF,4,Tusayan RD,AZ
3,Southwest Region,7,Kaibab NF,5,,AZ
3,Southwest Region,8,Lincoln NF,0,Supervisor’s Office,NM
3,Southwest Region,8,Lincoln NF,1,Smokey Bear RD,NM
3,Southwest Region,8,Lincoln NF,2,Sacramento RD,NM
3,Southwest Region,8,Lincoln NF,3,Guadalupe RD,NM
3,Southwest Region,8,Lincoln NF,4,,NM
3,Southwest Region,9,Prescott NF,0,Supervisor’s Office,AZ
3,Southwest Region,9,Prescott NF,1,Chino Valley RD,AZ
3,Southwest Region,9,Prescott NF,2,Prescott Fire Center,AZ
3,Southwest Region,9,Prescott NF,3,Bradshaw RD,AZ
3,Southwest Region,9,Prescott NF,5,Verde RD,AZ
3,Southwest Region,10,Santa Fe NF,0,Supervisor’s Office,NM
3,Southwest Region,10,Santa Fe NF,1,Coyote RD,NM
3,Southwest Region,10,Santa Fe NF,2,Cuba RD,NM
3,Southwest Region,10,Santa Fe NF,3,Jemez RD,NM
3,Southwest Region,10,Santa Fe NF,4,Las Vegas RD (Legacy),NM
3,Southwest Region,10,Santa Fe NF,5,Pecos-Las Vegas RD,NM
3,Southwest Region,10,Santa Fe NF,5,Pecos/Las Vegas RD,NM
3,Southwest Region,10,Santa Fe NF,6,Espanola RD,NM
3,Southwest Region,10,Santa Fe NF,8,,NM
3,Southwest Region,10,Santa Fe NF,96,,NM
3,Southwest Region,12,Tonto NF,0,Supervisor’s Office,AZ
3,Southwest Region,12,Tonto NF,1,Cave Creek RD,AZ
3,Southwest Region,12,Tonto NF,2,Globe RD,AZ
3,Southwest Region,12,Tonto NF,3,Mesa RD,AZ
3,Southwest Region,12,Tonto NF,4,Payson RD,AZ
3,Southwest Region,12,Tonto NF,5,Pleasant Valley RD,AZ
3,Southwest Region,12,Tonto NF,6,Tonto Basin RD,AZ
3,Southwest Region,16,R3 Regional Office,,,AZ
3,Southwest Region,19,Valles Caldera Natl Preserve,,,NM
3,Southwest Region,97,ISO,,,NM
3,Southwest Region,98,ASC,,,NM
3,Southwest Region,99,HRM,,,NM
4,Intermountain Region,,,,,UT
4,Intermountain Region,1,Ashley NF,0,Supervisor’s Office,UT
4,Intermountain Region,1,Ashley NF,1,Flaming Gorge RD,UT
4,Intermountain Region,1,Ashley NF,1,Flaming Gorge RD,WY
4,Intermountain Region,1,Ashley NF,2,Vernal RD,UT
4,Intermountain Region,1,Ashley NF,3,Roosevelt RD,UT
4,Intermountain Region,1,Ashley NF,4,Duchesne RD,UT
4,Intermountain Region,2,Boise NF,0,Supervisor’s Office,ID
4,Intermountain Region,2,Boise NF,1,Mountain Home RD,ID
4,Intermountain Region,2,Boise NF,2,Boise RD (Legacy),ID
4,Intermountain Region,2,Boise NF,3,Idaho City RD,ID
4,Intermountain Region,2,Boise NF,4,Cascade RD,ID
4,Intermountain Region,2,Boise NF,5,Lowman RD,ID
4,Intermountain Region,2,Boise NF,6,Emmett RD,ID
4,Intermountain Region,2,Boise NF,7,Lucky Peak Nursery,ID
4,Intermountain Region,2,Boise NF,16,,ID
4,Intermountain Region,3,Bridger-Teton NF,0,Supervisor’s Office,WY
4,Intermountain Region,3,Bridger-Teton NF,1,Kemmerer RD,WY
4,Intermountain Region,3,Bridger-Teton NF,2,Big Piney RD,WY
4,Intermountain Region,3,Bridger-Teton NF,3,Greys River RD,WY
4,Intermountain Region,3,Bridger-Teton NF,4,Jackson RD,WY
4,Intermountain Region,3,Bridger-Teton NF,5,Gros Ventre RD (Legacy),WY
4,Intermountain Region,3,Bridger-Teton NF,6,Buffalo RD,WY
4,Intermountain Region,3,Bridger-Teton NF,7,Pinedale RD,WY
4,Intermountain Region,5,Caribou NF (Legacy),1,,ID
4,Intermountain Region,5,Caribou NF (Legacy),2,Soda Springs RD (Legacy),ID
4,Intermountain Region,5,Caribou NF (Legacy),2,Soda Springs RD (Legacy),WY
4,Intermountain Region,5,Caribou NF (Legacy),3,Montpelier-Cach RD (Legacy),ID
4,Intermountain Region,5,Caribou NF (Legacy),4,Malad RD (Legacy),ID
4,Intermountain Region,5,Caribou NF (Legacy),4,Malad RD (Legacy),UT
4,Intermountain Region,5,Caribou NF (Legacy),5,Pocatello RD (Legacy),ID
4,Intermountain Region,5,Caribou NF (Legacy),9,,ID
4,Intermountain Region,5,Caribou NF (Legacy),52,,ID
4,Intermountain Region,6,Challis NF (Legacy),0,,ID
4,Intermountain Region,6,Challis NF (Legacy),1,,ID
4,Intermountain Region,6,Challis NF (Legacy),2,,ID
4,Intermountain Region,6,Challis NF (Legacy),3,,ID
4,Intermountain Region,6,Challis NF (Legacy),4,,ID
4,Intermountain Region,6,Challis NF (Legacy),5,,ID
4,Intermountain Region,6,Challis NF (Legacy),7,,ID
4,Intermountain Region,7,Dixie NF,0,Supervisor’s Office,UT
4,Intermountain Region,7,Dixie NF,1,Pine Valley RD,UT
4,Intermountain Region,7,Dixie NF,2,Cedar City RD,UT
4,Intermountain Region,7,Dixie NF,3,Powell RD,UT
4,Intermountain Region,7,Dixie NF,4,Escalante RD,UT
4,Intermountain Region,7,Dixie NF,5,Teasdale RD,UT
4,Intermountain Region,7,Dixie NF,7,,UT
4,Intermountain Region,8,Fishlake NF,0,Supervisor’s Office,UT
4,Intermountain Region,8,Fishlake NF,1,Fillmore RD,UT
4,Intermountain Region,8,Fishlake NF,2,Loa RD,UT
4,Intermountain Region,8,Fishlake NF,3,Beaver RD,UT
4,Intermountain Region,8,Fishlake NF,4,Richfield RD,UT
4,Intermountain Region,8,Fishlake NF,5,,UT
4,Intermountain Region,9,Humboldt NF (Legacy),1,Mountain City RD (Legacy),NV
4,Intermountain Region,9,Humboldt NF (Legacy),2,Ruby Mountains RD (Legacy),NV
4,Intermountain Region,9,Humboldt NF (Legacy),3,Jarbidge RD (Legacy),NV
4,Intermountain Region,9,Humboldt NF (Legacy),4,Ely RD (Legacy),NV
4,Intermountain Region,9,Humboldt NF (Legacy),5,Santa Rosa RD (Legacy),NV
4,Intermountain Region,9,Humboldt NF (Legacy),8,,NV
4,Intermountain Region,9,Humboldt NF (Legacy),9,,NV
4,Intermountain Region,9,Humboldt NF (Legacy),10,,NV
4,Intermountain Region,9,Humboldt NF (Legacy),12,,NV
4,Intermountain Region,10,Manti-LaSal NF,0,Supervisor’s Office,UT
4,Intermountain Region,10,Manti-LaSal NF,1,Sanpete RD,UT
4,Intermountain Region,10,Manti-LaSal NF,2,Ferron RD,UT
4,Intermountain Region,10,Manti-LaSal NF,3,Price RD,UT
4,Intermountain Region,10,Manti-LaSal NF,4,Moab RD,CO
4,Intermountain Region,10,Manti-LaSal NF,4,Moab RD,UT
4,Intermountain Region,10,Manti-LaSal NF,5,Monticello RD,UT
4,Intermountain Region,12,Payette NF,0,Supervisor’s Office,ID
4,Intermountain Region,12,Payette NF,1,Council RD,ID
4,Intermountain Region,12,Payette NF,2,Weiser RD,ID
4,Intermountain Region,12,Payette NF,3,New Meadows RD,ID
4,Intermountain Region,12,Payette NF,4,Mccall RD,ID
4,Intermountain Region,12,Payette NF,5,Big Creek RD,ID
4,Intermountain Region,12,Payette NF,6,Krassel RD,ID
4,Intermountain Region,12,Payette NF,13,,ID
4,Intermountain Region,13,Salmon-Challis NF,0,Supervisor’s Office,ID
4,Intermountain Region,13,Salmon-Challis NF,1,Salmon-Cobalt RD,ID
4,Intermountain Region,13,Salmon-Challis NF,2,Challis RD,ID
4,Intermountain Region,13,Salmon-Challis NF,3,Yankee Fork RD,ID
4,Intermountain Region,13,Salmon-Challis NF,4,Lost River RD,ID
